---------------------------------------茶叶-----------------------------------------
高淳县庙岗茶叶专业合作社    18751836554    刘为民 
南京金琥茶业有限公司    13770900511    章琦 
南京兰房闲之文化艺术交流有限公司    18105186729    陈亮 
南京宽和文化发展有限公司    18551711758    梁红娟 
南京旭日升冷暖设备安装有限公司    13002556345    马立进 
南京司达食品有限公司    025-52301613    蔡金陵 
江苏东方盛世文化产业有限公司南京荷轩茶馆    025-86669888    曹爱玲 
南京市溧水区山里红蓝莓专业合作社    13913388266    高蕾 
高淳县游子山茶业发展有限公司    025-57836061    陈爱国 
江苏浦桥玉剑茶业股份有限公司    025-58271199    张宴志 
南京盛世格润生态农业科技有限公司    18913815899    祁明生 
南京锦裕禾农产品专业合作社    13851589588    朱玉琴 
南京中山园林建设（集团）有限公司茶厂    025-84440930    丁传金 
南京溧水联顺农作物专业合作社    025-57431041    卞毓良 
南京龙东种植农地股份专业合作社    025-5813005    陈祥龙 
南京荣盛康旅健康产业发展有限公司    025-57139678    张志勇 
高淳县傅坛果蔬专业合作社    17715298586    施兴和 
南京旋倩苗木种植专业合作社    15951750397    梁江成 
南京天诺农业发展有限公司    18151936876    张华 
南京文雨苗木专业合作社    13951995068    池敦林 
南京溧水华晶农业发展有限公司    18905198639    张友才 
南京瑞信达文化传媒有限公司    18251833796    陈林芳 
南京大雁生态农业发展有限公司    15851869908    陈宏 
南京溧水泥歌果蔬种植专业合作社    025-57209855    石军 
南京傅家边畜禽有限公司    025-68811729    任启明 
南京为公苗木专业合作社    13584082208    刘为恭 
南京高胜农业发展有限公司    13851973870    高胜 
南京翔达苗木专业合作社    15151835399    高岚岚 
溧水明泉苗木专业合作社    13905199569    张晔 
南京聚浦农机专业合作社    025-58889611    倪天林 
南京牧心园家庭农场有限公司    13301582628    倪峰 
南京溧水云鹤山水稻种植专业合作社    025-5709855    石军 
南京市江宁区东善后村茶场    13914775116    余志军 
南京九天仙酒业有限公司    13222097399    端梦雯 
南京市高淳区艺军经济林果专业合作社    13770891800    汤立新 
南京景色家园苗圃专业合作社    025-52165866    张进 
南京中鼎生态农业有限公司    15195752912    王荣琴 
南京正北种植农地股份专业合作社    15951601842    许成霞 
南京黄连树农业有限公司    13382267185    陈雪梅 
南京金红茶业有限公司    18061298797    朱益军 
南京润瑞商贸有限公司    15951026928    葛连娣 
南京高丰蔬菜农地股份专业合作社    13813088386    刘光荣 
南京南溧苗木种植专业合作社    025-86196717    钟华根 
南京饮艺人生农产品有限公司    13770796651    史忠国 
南京市六合区马鞍泥桥农地股份专业合作社    025-57693358    许银江 
南京弘丽生态农业有限公司    18913955599    陈富国 
南京冻冻抢冷库有限公司    18761827788    齐桂珍 
南京华策贸易有限公司    025-84212120    张文燕 
南京凯达瓜果专业合作社    13851866129    李凯 
安徽省国营周王茶场南京经销部    13952042037    陈德全 
南京新能智创园林机械研发有限公司    13851719836    侯宝宁 
南京荣氏商贸有限公司烟酒专卖第一连锁店    025-83729030    张庆根 
南京众贤轩餐饮有限公司    025-86183210    伍传暄 
南京司盛蔬菜种植农地股份专业合作社    15077834878    盛积和 
南京润雅生态园林有限公司    18205158899    李卫国 
南京大韩农业开发有限公司    18951611690    韩梦林 
南京齐春园景观工程有限公司    025-68027992    冯艳春 
南京中山园林创景绿化工程有限公司    025-84432703    任有华 
南京凤茜山苗木专业合作社    13814113158    夏金凤 
南京浩海塑料机械有限公司    13951076031    杨国兴 
南京年丰生态农业有限公司    13770977228    王锋 
南京明台建设工程有限公司    13405866615    宋丽丽 
南京西大园林有限公司    13390752368    张忠双 
南京金双喜园艺有限公司    13512529965    王树超 
南京屏盛农业发展有限公司    18915931113    徐孝磊 
南京垄耿洼种植农地股份专业合作社    025-58101192    张大海 
南京灏琢种植专业合作社    13814166888    张荣金 
南京雷古蔬菜种植农地股份专业合作社    025-86106558    沈厚美 
南京吴明友畜禽养殖专业合作社    15850761978    吴明友 
南京皖飞商贸有限公司后宰门店    025-84664480    翟光平 
南京众海牡丹油制品有限公司    17312272944    周红波 
南京溧水盛红苗木专业合作社    13057651858    夏太红 
南京新曙光铁路商贸有限公司    025-02885820078    汪树峰 
南京市雨花台园林建设有限公司茶厂    025-52432054    范方富 
溧水绿地畜牧养殖专业合作社    15189819166    张康根 
南京市溧水区文涛秸秆专业合作社    13585139108    李青花 
南京孙氏金米兰咖啡有限公司    025-83220942    孙本岳 
南京统亚葡萄专业合作社    15651766661    陈为银 
南京市江宁区夜合山农场    18795882831    陈根生 
南京供春茶艺有限公司    025-84497812    黄晓华 
南京冰点茶业有限公司    18651199655    杨冲 
南京农可为农业发展有限公司    025-58535218    王亮 
南京徐溪农业发展有限公司    18551661088    王守清 
南京碧根谷农业发展有限公司    13770808908    周亚萍 
南京石捷蓝梅农业发展有限公司    13913349733    石宝成 
南京市溧水区恒彩禽类养殖专业合作社    15195792795    董国民 
南京炎炽生态农业科技有限公司    13901585938    杨文才 
南京泰翼商业管理有限公司    025-57018855    戚赟 
南京云洋水产养殖专业合作社    13915929053    刘洋 
南京翠湖川谷农产品专业合作社    18115193881    翟光虎 
南京果然多苗木种植专业合作社    18651846848    魏支坤 
南京茅山红农业科技有限公司    13505160796    张明岭 
南京大观园水稻种植专业合作社    15951753688    刘明金 
南京和好种植农地股份专业合作社    025-58242100    赵贤林 
南京金长盛茶业有限公司    15195882180    王军 
南京市溧水区百辰果蔬种植专业合作社    025-57206539    汤小将 
南京龙鼎峰茶场有限公司    13338631188    李娟 
南京横山农产品专业合作社    15150678777    张德进 
南京市溧水琴音食用菌种植专业合作社    13327738672    赵军 
南京土老妹种植专业合作社    13655163333    周德友 
南京秀禾生态农业发展有限公司    13813894664    卢练秀 
南京桦墅农产品专业合作社    025-84119011    蔡云 
南京古厝清修果蔬科技发展有限公司    025-83205317    陈隆能 
高淳县皓基贸易有限公司    18752056299    傅行春 
南京归园农产品专业合作社    15951968123    刘雪庆 
南京宁台农产品专业合作社    13505151167    曹颖 
南京色漾茶业有限公司    025-11875317    彭先将 
高淳县绿之源水产品专业合作社    13776536888    史见仁 
南京荣海果树种植专业合作社    13951823222    虞兴海 
南京岭畔茶文化传播有限公司    15160778727    吴景州 
南京天昊市政工程咨询有限公司    025-57918500    周国 
南京萱源贸易有限公司    13813989555    盛小兵 
南京宇知帆商贸有限公司    025-52819259    樊红卫 
南京天泽花卉苗木种植专业合作社    025-52690756    祁明生 
南京菩提葡萄专业合作社    13770933408    鲍团虎 
南京轩友种植专业合作社    15195922666    戴天友 
南京拈花惹茶贸易有限公司    18205162342    陈建妹 
南京昌洪水稻种植专业合作社    13776545317    王昌洪 
南京顺其自然苗木专业合作社    15251742848    滕智海 
南京长江农业科技有限公司    15850761000    蔡东田 
南京双达盛酒店管理有限公司    15050589888    黄双波 
南京吉正双盈能源科技有限公司    025-69628271    钟梅香 
南京诚鑫农业发展有限公司    13913361642    章胜利 
南京纯源商贸有限公司    025-57358621    杨利生 
南京市江宁区荷锄苗木种植专业合作社    13921409578    于华胜 
南京溧水桃花岛生态农业开发有限公司    13327737297    张绍新 
南京曦月茶业有限公司    13401922480    张瞻杭 
南京市江宁区晓村蔬果种植专业合作社    13921409578    于华胜 
南京萃禄食品贸易有限公司    025-57734220    林忠 
南京凤岭农业发展有限公司    13276665387    杭和凤 
南京市鼓楼区国营永进食品商店    025-83246984    彭荣亮 
南京金垾花卉苗木种植专业合作社    18013917555    施慎才 
南京溧华农业发展有限公司    025-57463777    张小华 
南京梅华农产品专业合作社    15951708259    李海梅 
南京绍腾贸易有限公司    13182989603    刘苏涛 
南京禾盛农业开发有限公司    13585125678    杨师欣 
南京仟秀文化发展有限公司    13912909322    韩正国 
南京富林茶果苗木专业合作社    13805192346    陈为芳 
南京茂荣园林绿化有限公司    13813817865    吕从海 
南京绿景农业专业合作社    025-52281316    尹志虎 
南京锄禾农业科技有限公司    13655171919    童欣 
南京乡满庭农家乐专业合作社    025-84107383    蔡德鲜 
南京盛润商贸有限公司    13151588123    左国义 
南京阔腾棉业有限责任公司    13605180018    王建强 
南京旭鼎种植专业合作社    15950590555    费玉龙 
南京燕霏网络科技有限公司    17368713576    黄鑫 
南京横丹印象农副产品专业合作社    13814128420    何宏强 
高淳县尚义苗木种植专业合作社    025-57819340    陈振华 
南京溧水如佳苗木种植专业合作社    13776521119    朱加银 
南京横宁农产品专业合作社    18014490023    朱其东 
南京禅和餐饮服务有限公司    025-83371898    任亮 
南京猛强农机专业合作社    13776569071    李光猛 
南京华青花卉苗木种植专业合作社    15905169555    陆顺华 
南京何马场双世园农业开发有限公司    13805191582    汤忠琴 
南京为诺食品贸易有限公司    17368713576    黎乙銮 
南京笪村农业观光有限公司    025-56225595    樊锦文 
南京懋光生物科技有限公司    18951081452    廖启航 
南京持农农产品种植专业合作社    025-58214223    陈伟 
南京小包总商贸有限公司    17327982389    黄鑫 
南京水品文化传播有限责任公司    15162817919    施京纯 
南京江宁美丽乡村建设开发有限公司西部客栈    15850645098    姜永梅 
南京市溧水区陈盖农地股份合作社    13813046797    谢官保 
南京银松农业发展专业合作社    13851906773    杨健 
南京市溧水区驼文山农地股份合作社    18936862048    薛元明 
南京江宁美丽乡村建设开发有限公司芳草园驿站    15850645098    陈燕 
南京钵德满商贸有限公司    025-87763395    夏迎飞 
南京凯丰苗木有限公司    025-57839166    孙涛 
南京桂香园生态农业有限公司    18020150317    邢有明 
南京卡明斯贸易有限公司    025-85087226    陈圣连 
南京市江宁区横溪农工商服务公司    13057599189    刘春阳 
南京溧水雅博苗木种植专业合作社    13770907087    胡亚波 
南京江宁美丽乡村建设开发有限公司逢缘驿站    15850645098    束小飞 
南京一航茶业有限公司    13913997159    邢黎明 
南京江宁美丽乡村建设开发有限公司满庭芳驿站    15850645098    梁袁 
南京华青茶业有限公司    15150606213    张春梅 
南京知霞百货贸易有限公司    15195992043    赵春青 
南京德弘食品有限公司    13851531097    甘文莉 
南京夏洛邑农产品专业合作社    025-51195160    胡全民 
南京君元堂商贸中心    13951954290    张军 
南京九帅贸易有限公司    18251833796    万子禹 
南京喜堂贸易有限公司    025-85077404    夏寒江 
南京金凤岭农产品专业合作社    13621599113    华新文 
南京张家宕银杏种植农地股份专业合作社    025-86139215    陈玉祥 
南京鲲吉食品贸易有限公司    13611513485    周鹏 
南京市瑶宕葡萄专业合作社    025-57842848    王春水 
南京米茹百货贸易有限公司    13951888532    张园园 
南京博山生源种植专业合作社    13951816155    赵菊芳 
南京润淳农业生态发展有限公司    13912952028    仇发林 
南京晗青烟酒商贸有限公司    025-96889996    胡立亮 
南京新希旺农副产品专业合作社    18951954153    夏怀忠 
南京盛平电气设备安装有限公司    13584078288    高达平 
南京朴众生态农业发展有限公司    025-57275846    马红梅 
上海东钦餐饮管理有限公司南京景枫广场店    021-62732367    段勇 
南京殊胜农业科技有限公司    13913967885    陈浩 
南京景东农产品专业合作社    17351000725    贾德富 
南京苏太桦智能科技有限公司    18060632888    韩易轩 
南京楠迪奥贸易有限公司    17368713576    岳自芬 
南京觉茗文化传播有限公司    025-83191913    黄昊 
南京五龙堂商贸有限公司    13912909322    汪夕芳 
南京江升家禽养殖专业合作社    025-86161996    严江 
南京武豪农业技术推广有限公司    13705195168    郑荣兰 
南京市溧水区史先珍针织品经营部    13913388088    史先珍 
南京市溧水区鸿盛理发器材厂    18912930052    谢青美 
南京市溧水区四子理发店    13770906354    刁爱琴 
高淳县东坝镇青山朝洋日杂商店    13776538913    孙陆金 
高淳县青山茶场春荣日杂超市    13585168656    陈春荣 
南京市溧水区白平蔬菜店    025-1385809111    李白平 
南京市浦口区雨轩家电维修部    13584048809    滕义平 
南京市高淳区汪双宝经济林果种植家庭农场    15358130860    汪双宝 
南京高淳阿香嫂食品厂    5796928    王香凤 
南京市雨花台区志华茶场    025-86701018    夏志华 
南京市江宁区巷上茶场    13951648472    成桂松 
南京市江宁区保成茶场    13951799722    余明保 
南京市雨花台区老夏茶场    13047522530    夏志华 
南京市栖霞镇钱家渡茶场    025-85770526    刘万珍 
南京市江宁区荣健茶场    13951079763    祁克荣 
南京市江宁区陈业宏茶场    13776409158    陈业宏 
南京市溧水区白马铁佛寺苗木种植园    13813072362    钟长新 
南京市雨花台区晓琴茶厂    13182837796    陈龙 
南京爱茗茶行    13951917008    王从武 
南京市江宁区六朝荟茶场    15951827999    陆上富 
南京谈氏茶庄    15805176366    谈玉国 
南京市江宁区晏子茶场    13814108852    胡从贵 
南京戴培俊茶场    13584082999    戴培俊 
南京市江宁区上湖茶场    13770998538    时德龙 
南京市江宁区马如庭茶场    13814112268    马如庭 
南京市江宁区邦朝茶场    13601435258    李邦朝 
南京天勇茗茶销售中心    15895869022    徐小芳 
南京凤妹茶庄    13382792303    黄小凤 
南京市江宁区黄志平茶场    15151828202    黄志平 
高淳县固城镇田家春茶厂    025-57200000    田启福 
南京市秦淮区老崔茶馆    025-52628899    崔波 
南京市江宁区家生茶场    025-86140340    程家生 
南京市六合区程王茶庄    13813027473    程后莲 
南京市江宁区双喜茶店    13951846969    陶崇玲 
南京荷花养殖场    15850613682    李元才 
南京增浒茶场    13951665256    樊增浒 
南京会友茶业经销部    13032558689    吴江火 
高淳县固城镇润鑫食品厂    13770872573    吴正福 
南京市浦口区双山小苏茶场    15851842817    马来军 
高淳县古柏镇韩村秋林茶庄    13770877626    许秋林 
南京市雨花台区张振峰茶场    18761657677    张振峰 
南京市江宁区周林贵茶场    18915957546    周林贵 
南京雨露茶场    13032550098    冯梦麟 
南京市白下区李长贵茶业销售中心    13770731897    李长贵 
南京市江宁区陈建芳茶场    13809039652    陈建芳 
南京市江宁区大冯茶场    13776558615    冯俊 
南京市江宁区龙针茶场    18936029687    刘炳祥 
南京市江宁区绿业林场    18951835007    夏秀英 
南京市江宁区清竹农业生态园    13905162488    周兵 
高淳县玉缘茶业经营部    13905149558    孔小玉 
南京市江宁区秦丽茶场    13805182185    秦丽 
南京市江宁区许开华茶场    15851868115    许开华 
南京市江宁区云宁茶业经营部    13915958222    徐政 
溧水县铭媛山庄养殖场    13770908245    罗士林 
南京市浦口区二段茶园    18652088286    段清武 
南京高淳三星茶厂    13913378726    邢明辉 
南京市江宁区燕子绿茶场    13809027940    孔祥燕 
南京市雨花台区九连山茶场梅山直销部    13770768453    葛云霞 
南京市江宁区刘成翠荼场    13376060467    刘成翠 
南京市江宁区徐家茶场    13851650716    徐文宝 
南京市江宁区绿磊茶场    13382021508    余磊 
南京市江宁区文春苗木种植场    13337822850    陈祥文 
南京市江宁区蔡籽岘茶场    13585126549    陈富胜 
南京市江宁区王登清茶场    13584075990    王登清 
南京市江宁区半山园茶场    13901597802    蔡财强 
南京市江宁区友缘茶场    13776405051    戴世兰 
南京茗贵茶庄    13851983101    吴福生 
南京市江宁区道雨茶场    13301586497    戴永平 
南京市江宁区高绩茶场    13338630988    邢有明 
南京市浦口区王恒泉茶场    13390921028    王恒泉 
南京市江宁区葫芦湾种植园    13851515806    潘孝发 
南京市溧水区黄记茶行    13770806616    黄守定 
南京小骆茶业批发部    13851643497    骆小旺 
南京市江宁区江秀华茶场    13337822850    江秀华 
南京秋韵茶业经营部    13770577513    苏伟聪 
南京市浦口区黄冲茶场    13851903551    陈富连 
溧水县白马石头寨兴农苗圃    13770900456    许承源 
南京秋华茶业批发中心    13813867345    吴福地 
南京市浦口区龙秦茶场    13913303389    孙爱东 
南京市江宁区孙桂芳茶场    13921409578    孙桂芳 
南京市江宁区贵芳茶场    13914776144    经加贵 
南京市浦口区道华茶场    13327721873    刘道华 
南京市江宁区张玉平茶场    13400055235    张玉平 
南京市江宁区傅双宝茶场    13913392870    傅双保 
南京市秦淮区清香茗茶庄    17502521168    王顶全 
南京市江宁区马达山农业种植园    13851650512    刘露 
南京江宁区咸田茶厂    13851692946    魏达友 
南京钟氏茶业店    13851564788    钟劲柏 
南京市浦口区久山茶场    13913308100    孙久山 
南京市江宁区硕尧百货店    13218033525    陶绍胜 
南京市江宁区新林茶场    13770304234    刘春林 
南京市江宁区兵秀茶场    13675196330    张正兵 
南京市江宁区詹维海茶场    15895957819    詹维海 
南京市江宁区张长花茶场    025-86140572    张长花 
南京市江宁区朱立祥茶场    13347700208    朱立祥 
南京市浦口区许礼祥茶场    13401969124    许礼祥 
南京市江宁区刘国林农产品经营部    13675191730    刘国林 
南京市浦口区五二茶场    025-58291580    庆克大 
南京浩宇水产养殖场    13901596287    赵国胜 
南京市玄武区盛茂春童卫路茶业店    13851809059    盛茂春 
南京市江宁区谷荷兰水产养殖场    15195965480    谷荷兰 
南京长征林场    025-58251415    张忠兵 
南京市江宁区横山斯业劳务工程队    18061239903    柏斯业 
南京市雨花台区静德茶业经营部    15250959888    吴树贵 
南京市江宁区牌坊绿一湾茶餐厅    13952016819    刘丙全 
南京惠新苗木种植园    15951701898    朱双根 
南京市六合区竹峰茶庄    15805144043    徐先来 
南京市建邺区壶缘工艺品经营部    15105191961    潘瑜 
南京市秦淮区荣鑫堂古玩店    13913930853    张森 
南京市浦口区魏宝华生态农业园    13913989355    魏宝华 
南京市高淳区昊天茶厂    18913336569    朱雪梅 
南京市江宁区林蓝百货商店    13914785306    叶金秀 
南京市江宁区国翠家庭农场    13770652390    陈兆国 
南京市浦口区龙玉家庭农场    13451837311    茆长露 
南京市浦口区咱家乐园养殖场    13814160651    张松华 
南京市江宁区巷宝百货店    13921409578    葛子豪 
南京市浦口区绿云茶场    15051808000    陈发良 
南京市浦口区美好家庭农场    13062527449    倪留胜 
南京市江宁区朱泉源建筑工程队    13921409578    朱泉源 
南京三味茶庄第一分店    025-84502454    陈春妃 
南京市浦口区久山里农产品经营部    13913308100    孙久山 
南京市溧水区长青家庭农场    15365100058    徐长青 
南京市江宁区高继凤百货店    13382023308    高继凤 
南京市秦淮区淳瑞达农副产品销售中心    13913987057    黄桃水 
南京市栖霞区长林茶场    025-85771298    顾永生 
南京市江宁区张府家庭农场    13921409578    王冬子 
南京市江宁区山丹景谷物种植家庭农场    15950494738    丁邦为 
南京刺桐春茶业店    13851616089    王桂滨 
南京市江宁区甘泉湖茶场    13951995068    池敦林 
南京市江宁区大丰收家庭农场    15950550885    杨坚 
南京市雨花台区有富花卉园艺中心    13913919306    赵富贵 
南京市浦口区双山苗圃场    13016977663    成立新 
南京市雨花台区庄成百货经营部    025-52457493    刘钧 
南京市江宁区禾牧家庭农场    13182935541    邵建波 
高淳县青山茶场营销部    13851569838    时保亚 
南京市江宁区勖祺家庭农场    025-86138390    盛义武 
南京市浦口区有平家庭农场    15250981989    茆荣庆 
南京市浦口区联明家庭农场    13270812256    邵联明 
南京金墅园艺研究所    025-86161787    王宜卫 
南京市溧水区陈铭家庭农场    13913366032    陈铭 
南京市浦口区慧瀞阁茶具馆    13585173055    杨淑慧 
南京市浦口区晓兵家庭农场    13913310799    李晓兵 
南京市浦口区乡之韵家庭农场    18551706777    孟召君 
南京八马茶店    13382010666    陆志云 
南京市溧水区峰谊农产品经营部    025-57206994    王厚谊 
南京曲峰茶场    13182987918    葛云霞 
南京市鼓楼区贝利亚商务信息咨询中心    13913330278    孔一佳 
南京市江宁区龙园茶场    13951077802    刘德安 
南京市六合区宁正果树种植家庭农场    13913902873    徐相华 
南京市江宁区良呈道路工程队    18913811469    梁江成 
南京市溧水区廻峰山茶厂    13327732988    田庆云 
南京市浦口区瑞牧家庭农场    13327724039    蓝梅 
南京市溧水区乐吧门厂    13915932009    黄洪斌 
南京市江宁区铜浦烟酒店    13814110003    刘发祥 
南京大红甜石榴技术开发中心    13337720260    郑俊起 
南京市江宁区湖熟明溪茶场    025-52690827    陈亚明 
南京市浦口区雨竹农业开发中心    13905171926    孙玉龙 
高淳县精珠园生态养殖场    13851913760    朱爱仙 
南京市浦口区许秀冬百货经营部    18752019200    许秀冬 
南京市浦口区华山农庄休闲中心    025-58886238    林如虹 
南京市栖霞区新合村志友茶场    13512501016    刘瑞 
南京秦淮园林机械厂    13913933444    侯宝宁 
南京市溧水区傅家边灵峰茶场    13585189865    黄勤国 
南京市秦淮区墨俪文化艺术培训中心    18651600479    张奕 
高淳县创杰商贸中心    025-56862678    李俊 
南京创杰科技服务中心    13915918518    彭建明 
南京市溧水菇香家庭农场    13327738672    赵军 
南京市浦口区王英亮家庭农场    025-582112888    王英亮 
南京宜春烟酒茶庄    13951947897    冒仲才 
南京金鼎益铭景观建设有限责任公司    025-52070335    吴有国 
南京大厚网络科技有限公司    18602569891    李晓辉 
南京市溧水区夏建国家庭农场    18005177558    夏建国 
南京市高淳区王福顺水稻种植家庭农场    15952071878    王福顺 
南京市江宁区康贵星养殖场    13915938726    康贵星 
南京市溧水区斯蓝苗木种植园    13390926916    汤世兰 
南京华厦实业有限公司    025-84417496    黄钟平 
南京市溧水区徐志家庭农场    15665558791    徐志 
高淳县桠溪镇篮溪文明土特产经营部    025-57845528    张金金 
南京市浦口区兴国苗圃场    15951660506    豆新国 
南京福淼贸易有限公司    13951655399    张颖 
南京九紫商贸有限公司    18913811469    陈满友 
南京芳謦园林工程有限公司    025-52753123    毛如芳 
南京魏氏工贸有限公司    025-58711721    魏代胜 
南京淳峰茶业有限公司    025-57839606    甘仲梁 
南京市溧水区三水家庭农场    15996399184    吴白生 
南京迈华百货商店    13305180659    江宁 
南京众农贸易有限公司    025-88802818    钟强 
南京金山宁实业有限责任公司苏州路副食品市场分公司    025-83708935    朱海青 
南京市江宁区阿伟茶庄    15122115223    丁建伟 
南京绿城供应链管理有限公司    13609617171    孙乾 
南京奥鼎贸易有限公司    025-85606893    杨林 
南京九沁电子商务有限公司    13151083777    卜冬娣 
南京健峥贸易有限公司    17368713576    岳自芬 
南京洪溪食品有限公司    025-57230098    周金兰 
南京市雨花台区万福源茶业经营部    13770969672    俞会晓 
南京明雨茶业有限公司    025-52606857    武斌 
南京正太烟酒有限公司    13809048476    杨维雄 
南京雅磐商贸有限公司第十三分公司    02583341119    汤丽 
南京市鼓楼区清香茶业销售部    13851716347    盛李进 
江宁区捷成装饰玻璃经营部    13002595478    王勇 
